Platform	Name	Entity	Last IP address	Device model	Device type	OS version and architecture	OS name	Total RAM [bytes]	CPU model	Hard disks	DXS - Device (DXS - Device)	DXS - Web browsing (DXS - Web browsing)	DXS - Security (DXS - Security)	DXS - Productivity (DXS - Productivity)	DXS - Business apps (DXS - Business apps)	Device (sentiment) (DXS - User sentiments)	Web browsing (sentiment) (DXS - User sentiments)	Productivity (sentiment) (DXS - User sentiments)	Security (sentiment) (DXS - User sentiments)	Employee Satisfaction (DXS - User sentiments)	Business apps (sentiment) (DXS - User sentiments)
Windows	MIDEGENDRON-D01	Middletown (CT)	10.8.1.48	OptiPlex 7010	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i7-3770S CPU @ 3.10GHz	Samsung (119.2GB, 100% S.M.A.R.T.)	9.72	10	10	8.33699	7.63631	10	10	10	10		10
Windows	MIDELECTRIC-L01	Middletown (CT)	10.8.1.141	Latitude 7490	laptop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-8350U CPU @ 1.70GHz	SK hynix SC311 SATA 256GB (238.5GB, 100% S.M.A.R.T.)											
Windows	MIDENGINEER-L01	Middletown (CT)	10.8.1.99	Latitude E6430	laptop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-3380M CPU @ 2.90GHz	Samsung (119.2GB, 100% S.M.A.R.T.)	9.7383	10	10	8.42363	5.19154	10	10	10	10		10
Windows	MIDENGINEER-L1	Middletown (CT)	10.8.1.188	Latitude E6430	laptop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core i5-3380M CPU @ 2.90GHz	Samsung (119.2GB, 100% S.M.A.R.T.)											
Windows	MIDENGINEER-L2	Middletown (CT)	10.8.1.41	Latitude E6430	laptop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core i5-3380M CPU @ 2.90GHz	Samsung (119.2GB, 90% S.M.A.R.T.), USB DISK 2.0 USB Device (7.2GB)											
Windows	MIDGCPI-D01	Middletown (CT)	10.8.1.43	OptiPlex 7010	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i7-3770S CPU @ 3.10GHz	Samsung (119.2GB, 80% S.M.A.R.T.)	9.61925		10		5.30811	10	10	10	10		10
Windows	MIDGCPI-D1	Middletown (CT)	10.8.1.171	OptiPlex 7020	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	8589934592	Intel Core i5-4590 CPU @ 3.30GHz	Seagate (465.8GB, 100% S.M.A.R.T.)	6.81213		10		3.80143	10	10	10	10		10
Windows	MIDGJALBERT-D01	Middletown (CT)	10.8.1.57	OptiPlex 7060	desktop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-8500T CPU @ 2.10GHz	Micron (238.5GB, 80% S.M.A.R.T.)	9.6519	10	10	8.74036	6.09671	10	10	10	10		10
Windows	MIDGJALBERT-D1	Middletown (CT)	10.8.1.143	HP Compaq dc7900 Small Form Factor	desktop	Windows 7 Professional SP1 (64 bits)	Windows 7	4294967296	Intel Core2 Duo CPU E8500 @ 3.16GHz	Hitachi (74.5GB, 80% S.M.A.R.T.)											
Windows	MIDGKORNBRA-L01	Middletown (CT)	10.8.1.82	Latitude E6430	laptop	Windows 10 Enterprise 1709 (64 bits)	Windows 10	8589934592	Intel Core i5-3380M CPU @ 2.90GHz	Samsung (119.2GB, 100% S.M.A.R.T.)	0		10		5.26314	10	10	10	10		10
